signature,type,source,tokenMint,collection,collectionSymbol,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price,image
5DNcUUX4Y2iMQuBMmbBUvUxkKby8roJtnJKXjmhUhHXkXYiiV5d33eYLAc9PcvyBK6VHJuPzpmFk9E9JjPwiWBnR,bid,magiceden_v2,2zNdj5t37d453zi8vDvBcZWrrb3xH8knc8QyTWK8ZFRJ,monkey_kingdom,monkey_kingdom,148810430,1662129115,7MDHAZN4A1hnimeDLQW1jHTNQtBPZAoBU3DEziBjSGB6,,,,11,https://arweave.net/RXvcXfIAUylko38UpwCUMT-ZntVvhiIHutlojX7jUF8
5bqQp9nbZeyNkVvCsD6hZjJXTZCERmT7tCu1fsaPh2xA5dQgEigJFWVnW5s8sv6JBVcuCacp6YA9k8fndszEFCwU,buyNow,magiceden_v2,C1zJEjdzsMTCPXinVvP6ogESoHseJccQdpDGVYfF4MyF,monkey_kingdom,monkey_kingdom,148810395,1662129095,7MDHAZN4A1hnimeDLQW1jHTNQtBPZAoBU3DEziBjSGB6,,92sWfNSVB5Gv6mkELi3VPKBk2osDaxtifMGsDwPJz6jk,,12,https://arweave.net/r6rwNeNBZ_SmNkq4_em2A04__Hd0b1inMc9SFh7ElVI
5bqQp9nbZeyNkVvCsD6hZjJXTZCERmT7tCu1fsaPh2xA5dQgEigJFWVnW5s8sv6JBVcuCacp6YA9k8fndszEFCwU,bid,magiceden_v2,C1zJEjdzsMTCPXinVvP6ogESoHseJccQdpDGVYfF4MyF,monkey_kingdom,monkey_kingdom,148810395,1662129095,7MDHAZN4A1hnimeDLQW1jHTNQtBPZAoBU3DEziBjSGB6,,,,12,https://arweave.net/r6rwNeNBZ_SmNkq4_em2A04__Hd0b1inMc9SFh7ElVI
5q8KguB6kr4SpFJdnT5K3YXt1ppUrTY91YNRmVgR83YoxfL2PSQqs1LJ4xnhLXVP8chESSFKGCCRzgk1SGcascYT,bid,magiceden_v2,2zNdj5t37d453zi8vDvBcZWrrb3xH8knc8QyTWK8ZFRJ,monkey_kingdom,monkey_kingdom,148753136,1662096089,g7rzgMzofvADpwmKQddsfDHZZiLGt9bwCCVb1mLoYDM,,,,6.01,https://arweave.net/RXvcXfIAUylko38UpwCUMT-ZntVvhiIHutlojX7jUF8
pdcKAk5GM4ByEjxSY6AeM3YtPJP4dMz7FPHgDoQosrFGpE2xofKKdYcV7BnVnh3FmWFgcYPWLkxMESeKQ4ZvGXs,cancelBid,magiceden_v2,2zNdj5t37d453zi8vDvBcZWrrb3xH8knc8QyTWK8ZFRJ,monkey_kingdom,monkey_kingdom,148753020,1662096023,g7rzgMzofvADpwmKQddsfDHZZiLGt9bwCCVb1mLoYDM,,,,0,https://arweave.net/RXvcXfIAUylko38UpwCUMT-ZntVvhiIHutlojX7jUF8
BKeS8rGQtNZoVhz8ki8sPRUvZcSVsgbUCx5Dznv3WzEuUCSWtoK7HtsRo7KB3HbFCFJDf1HpcWR4RA7TqMuC7fM,list,magiceden_v2,Gtp2JWJ51BvJL2qziBLMBBnxZTzi94UgpTP87JabrCin,monkey_kingdom,monkey_kingdom,148735594,1662086202,,,5hXw12AC5aBTKfg1WvDToGZX2cR5i8QeV5Ta6hXZ1sz5,,240,https://arweave.net/7lfpLfBlNOzFMVbhyi5QYeo4gy5rbzSGcyQ4OusCNBk
4UUnh9pWAJxE3xq5zyGbKQ2ZrFShLTW5VH91abaLkygs8uM2x4Ndjjg3dw2tg4gRS1KPum6UovJP8DMaEyxhESPg,bid,magiceden_v2,Fh2MrELaBv1MPRfvviqpsfCU23H1e76tFKjf9aXFm6eU,monkey_kingdom,monkey_kingdom,148612348,1662014427,7rMfyCiXesvwW2nDTaE6ghwZDHZS2Nr42AMCjTjJ9gY9,,,,7.5,https://arweave.net/nG34mk3sLkXllwcehQMgXOMB4JFUfvpqRkylgaTcfws
zscf4ucfWT9prAmBrZUmycM4nNji2VhNWg8y4F8qRqkjx5RCCeFwsGeAXKfHLTuWk8uXBjQqYgkbM6Pnn6PBVKo,bid,magiceden_v2,3SvDxF1ra8YhQWLxEKTquQC4H8MAcvxDxZNBsx4P9YTP,monkey_kingdom,monkey_kingdom,148612247,1662014375,7rMfyCiXesvwW2nDTaE6ghwZDHZS2Nr42AMCjTjJ9gY9,,,,7.5,https://arweave.net/0R6076sxEoxHkCjChUr02mSgyZWRhb2_9fk5gnDpe4k
5BX9Yk7NKvLuHswD79DdhSaF35yBXBV62SSJLaShX51XCEeogYfqwNU2PWXgMb9GjLxQ77tvBqd3LHP5tESf7eKC,bid,magiceden_v2,C1zJEjdzsMTCPXinVvP6ogESoHseJccQdpDGVYfF4MyF,monkey_kingdom,monkey_kingdom,148611996,1662014249,7rMfyCiXesvwW2nDTaE6ghwZDHZS2Nr42AMCjTjJ9gY9,,,,8,https://arweave.net/r6rwNeNBZ_SmNkq4_em2A04__Hd0b1inMc9SFh7ElVI
2rPmtWnNHJV14SaJSWakxxmP8CezS3V6Fd9CVVKu3heeFSecdddVpBEr7v1i1KVnC7Yd3iZsMB7EM9mU5gAh3AVu,cancelBid,magiceden_v2,EfsTrBiLUrRXrpqwE4QRD4vRMDqdduUpwzr2cc6R2a94,monkey_kingdom,monkey_kingdom,148611917,1662014207,7rMfyCiXesvwW2nDTaE6ghwZDHZS2Nr42AMCjTjJ9gY9,,,,0,https://arweave.net/c802_K_Y_5JR1KC7YbjVwfFMp1d7JcJglz3AjrB4oh8
3QV8giokdsJKK7ersYGqcRg9VbzM8kcB89M1HCpXA3hXMxJ6gZSn9c7ycacpnxHTHEVkhzguJByBKPT6rPTH4FZQ,delist,magiceden_v2,EVZi5i33zGWVCAHHNkaEXAkRMHQVWrkRTzXHwxE9hW98,monkey_kingdom,monkey_kingdom,148583080,1661998429,,,D83QcYAuViu7QrFy6iei9M5Dp4vdxtWUEbqf7YiCgHqN,,0,https://arweave.net/vWAzLjhr3EY8opQtSnUnzD7JyjFWfdHvVVo8EPRyhMI
QLjRftBJ4ti57VLTgPgRDfowE7AowmbCPkGwzM4HVtZtozwbRrNfgLrZs3t4PKPzSQPZn6qsnYCLosEr8NaYJiS,bid,magiceden_v2,2zNdj5t37d453zi8vDvBcZWrrb3xH8knc8QyTWK8ZFRJ,monkey_kingdom,monkey_kingdom,148511688,1661957288,6kurpCP6g3KYGXYB6LLQ3v4SUPeRBA11RYLjM9BHb7xk,,,,6,https://arweave.net/RXvcXfIAUylko38UpwCUMT-ZntVvhiIHutlojX7jUF8
52RQ2mnSd5GrYEqFXgQKyDm7KbCWodkzm2ym5BFgijwez5ZoQxnrPmmSFZM5p7pvouZ5RqSQikuCqWFeaddV7jsb,bid,magiceden_v2,C1zJEjdzsMTCPXinVvP6ogESoHseJccQdpDGVYfF4MyF,monkey_kingdom,monkey_kingdom,148484037,1661940638,BR9D9vhRfhEUsM1VnWmhwGdQ18ZZrdtN6RWLCii7TA4M,,,,7.8,https://arweave.net/r6rwNeNBZ_SmNkq4_em2A04__Hd0b1inMc9SFh7ElVI
e5YPxueTaEG62trNBs6U9bZADRbqqTnefyESnPs6q5WG1uaKBtehTnJD8wRsTxmf21jT64wHJxDg1qXjEKy7YbB,cancelBid,magiceden_v2,EfsTrBiLUrRXrpqwE4QRD4vRMDqdduUpwzr2cc6R2a94,monkey_kingdom,monkey_kingdom,148483215,1661940142,BR9D9vhRfhEUsM1VnWmhwGdQ18ZZrdtN6RWLCii7TA4M,,,,0,https://arweave.net/c802_K_Y_5JR1KC7YbjVwfFMp1d7JcJglz3AjrB4oh8
MM8nfxAsnYu2et3mWz7htwTjL8QeBxmGQkqQBqg4HadvibN8LikpTo7W5yLVMhwMcsZuXBkSgzEQBrBS694foS9,buyNow,magiceden_v2,EfsTrBiLUrRXrpqwE4QRD4vRMDqdduUpwzr2cc6R2a94,monkey_kingdom,monkey_kingdom,148348291,1661861208,BPejrK6kcnC6NRj4GzNXGBJGoZMytuYAzZYQgU4kUduH,,DJBHGNxosDcJb16u7Lgy83f9k5Seru1KMbzK16EX9qVR,,12,https://arweave.net/c802_K_Y_5JR1KC7YbjVwfFMp1d7JcJglz3AjrB4oh8
MM8nfxAsnYu2et3mWz7htwTjL8QeBxmGQkqQBqg4HadvibN8LikpTo7W5yLVMhwMcsZuXBkSgzEQBrBS694foS9,bid,magiceden_v2,EfsTrBiLUrRXrpqwE4QRD4vRMDqdduUpwzr2cc6R2a94,monkey_kingdom,monkey_kingdom,148348291,1661861208,BPejrK6kcnC6NRj4GzNXGBJGoZMytuYAzZYQgU4kUduH,,,,12,https://arweave.net/c802_K_Y_5JR1KC7YbjVwfFMp1d7JcJglz3AjrB4oh8
p6J8G3F89ierWziLBFv6b5FvmEGZdXjkF5ryQNZromzXtyiYayrub2QTMVvgYw9y8M93txatojr8tbyLuu37Gys,bid,magiceden_v2,HoDAMNbmgS9g2RyVskB9S1aLTh4G1fQFZVaioqZcHJHk,monkey_kingdom,monkey_kingdom,148306367,1661838684,g7rzgMzofvADpwmKQddsfDHZZiLGt9bwCCVb1mLoYDM,,,,5.5,https://arweave.net/lR1BHHsx8xmA4WZcd-Hs16XZUTm_KuTtV-RyqsNoQL8
2SYYjmdFyvQMMyeBABNZa2UM6ZoQ2MHz365aX53qwB8WpPYszdoBcxMLMUHuriGCm7X69x4kCcVRVDb8cJ2ZifXQ,bid,magiceden_v2,B84MR5r9d8ApGG32KnVx1jYAssjGfaFYv4VtoKnRDP65,monkey_kingdom,monkey_kingdom,148305444,1661838208,g7rzgMzofvADpwmKQddsfDHZZiLGt9bwCCVb1mLoYDM,,,,5.5,https://arweave.net/CdqBTlH0cdrN5iQA_rDSBam6bqRS-lgs5Qfrug8c6Xc
